instance,lb,ub,time
DSJC125.1,5,5,142.0
DSJC125.5,17,17,18050.8
DSJC125.9,44,44,3896.9
DSJC250.1,6,8,
DSJC250.5,20,28,
DSJC250.9,71,72,
DSJC500.1,5,12,
DSJC500.5,16,48,
DSJC500.9,123,127,
DSJC1000.1,5,20,
DSJC1000.5,13,84,
DSJC1000.9,51,224,
DSJR500.1,12,12,35.3
DSJR500.1c,85,85,288.5
DSJR500.5,122,122,342.2
latin_sq._10,90,102,
le450_5a,5,5,0.3
le450_5b,5,5,0.2
le450_5c,5,5,0.1
le450_5d,5,5,0.2
le450_15a,15,15,0.4
le450_15b,15,15,0.2
le450_15c,15,15,3.1
le450_15d,15,15,3.8
le450_25a,25,25,0.1
le450_25b,25,25,0.1
le450_25c,25,25,1356.6
le450_25d,25,25,66.6
queen8_8,9,9,3.6
queen8_12,12,12,0.2
queen9_9,10,10,36.6
queen10_10,11,11,686.9
queen11_11,11,11,1865.7
queen12_12,12,13,
queen13_13,13,14,
queen14_14,14,15,
queen15_15,15,16,
queen16_16,16,17,
myciel6,4,7,
myciel7,5,8,
1-Insertions_4,3,5,
1-Insertions_5,3,6,
1-Insertions_6,3,7,
2-Insertions_4,3,5,
2-Insertions_5,3,6,
3-Insertions_3,3,4,
3-Insertions_4,3,5,
3-Insertions_5,2,6,
4-Insertions_3,3,4,
4-Insertions_4,3,5,
1-Fullins_4,4,5,
1-FullIns_5,4,6,
2-FullIns_3,5,5,2.9
2-FullIns_4,5,6,
2-FullIns_5,5,7,
3-FullIns_3,6,6,2.9
3-FullIns_4,6,7,
3-FullIns_5,6,8,
4-Fullins_3,7,7,3.4
4-FullIns_4,7,8,
4-FullIns_5,7,9,
5-Fullins_3,8,8,4.6
5-Fullins_4,8,9,
wap01,40,43,
wap02,40,42,
wap03,40,47,
wap04,40,44,
wap05,50,50,293.2
wap06,40,40,175.0
wap07,40,42,
wap08,40,42,
qg_order30,30,30,0.2
qg_order40,40,40,2.9
qg_order60,60,60,3.8
fpsol2_i_1,65,65,10.6
fpsol2_i_2,30,30,11.2
fpsol2_i_3,30,30,10.0
mug88_1,4,4,9.6
mug88_25,4,4,10.6
mug100_1,4,4,14.4
mug100_25,4,4,12.0
ash331GPIA,4,4,45.9
ash608GPIA,4,4,2814.8
ash958GPIA,3,4,
abb313GPIA,8,9,
will199GPIA,7,7,80.7
inithx.i.1,54,54,21.0
inithx.i.2,31,31,9.2
inithx.i.3,31,31,9.9
mulsol.i.1,49,49,0.2
mulsol.i.2,31,31,4.7
mulsol.i.3,31,31,0.2
mulsol.i.4,31,31,0.2
mulsol.i.5,31,31,6.0
school1,14,14,0.4
school1_nsh,14,14,17.0
zeroin.i.1,49,49,3.8
zeroin.i.2,30,30,4.4
zeroin.i.3,30,30,4.5
anna,11,11,3.6
david,11,11,0.2
huck,11,11,0.2
jean,10,10,0.2
games 120,9,9,0.2
miles250,8,8,5.0
miles500,20,20,3.7
miles750,31,31,0.2
miles1000,42,42,0.2
miles1500,73,73,0.1
